age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,monthyear,name,outcome_subtype,outcome_type,sex_upon_outcome,age,puppy,dob_year,dob_month,dob_monthyear,outcome_month,outcome_year,outcome_weekday,outcome_hour,color1,color2
1 year,A720759,Bird,chicken,white,2015-02-14 00:00:00,2016-03-09 10:58:00,2016-03-09 10:58:00,Rooster  D13,,Disposal,Intact Male,389,False,2015,2,2016-03,3,2016,2,10,white,
1 year,A736574,Bird,cockatiel,white,2015-10-13 00:00:00,2016-10-17 14:10:00,2016-10-17 14:10:00,Aeos,,Return to Owner,Unknown,370,False,2015,10,2016-10,10,2016,0,14,white,
1 year,A720754,Bird,chicken,white,2015-02-14 00:00:00,2016-03-09 10:58:00,2016-03-09 10:58:00,Rooster  D 8,,Disposal,Intact Male,389,False,2015,2,2016-03,3,2016,2,10,white,
1 year,A760051,Bird,quaker,green/gray,2016-10-11 00:00:00,2017-10-20 12:40:00,2017-10-20 12:40:00,,,Adoption,Unknown,374,False,2016,10,2017-10,10,2017,4,12,green,gray
1 year,A734685,Bird,african,gray,2015-09-11 00:00:00,2016-09-12 13:26:00,2016-09-12 13:26:00,Gracie,,Return to Owner,Unknown,367,False,2015,9,2016-09,9,2016,0,13,gray,
1 year,A758825,Bird,chicken,white/tan,2016-09-22 00:00:00,2017-09-22 14:53:00,2017-09-22 14:53:00,,Suffering,Euthanasia,Unknown,365,True,2016,9,2017-09,9,2017,4,14,white,tan
2 years,A706617,Bird,pigeon,tan,2013-06-30 00:00:00,2015-07-23 16:49:00,2015-07-23 16:49:00,,,Adoption,Unknown,753,False,2013,6,2015-07,7,2015,3,16,tan,
1 year,A720724,Bird,chicken,red/black,2015-02-14 00:00:00,2016-03-08 13:49:00,2016-03-08 13:49:00,Rooster 8,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,13,red,black
1 year,A720760,Bird,chicken,white,2015-02-14 00:00:00,2016-03-09 10:58:00,2016-03-09 10:58:00,Rooster  D14,,Disposal,Intact Male,389,False,2015,2,2016-03,3,2016,2,10,white,
6 months,A738762,Bird,rhode island,red,2016-05-26 00:00:00,2016-11-27 10:29:00,2016-11-27 10:29:00,,,Adoption,Intact Female,185,True,2016,5,2016-11,11,2016,6,10,red,
1 year,A736992,Bird,cockatiel,gray/yellow,2015-10-20 00:00:00,2016-10-24 13:11:00,2016-10-24 13:11:00,,,Return to Owner,Unknown,370,False,2015,10,2016-10,10,2016,0,13,gray,yellow
2 years,A703854,Bird,parakeet,green/blue,2013-05-29 00:00:00,2015-06-22 00:00:00,2015-06-22 00:00:00,,Partner,Transfer,Unknown,754,False,2013,5,2015-06,6,2015,0,0,green,blue
1 year,A739251,Bird,cockatiel,gray/white,2015-11-29 00:00:00,2016-12-05 18:53:00,2016-12-05 18:53:00,,,Adoption,Unknown,372,False,2015,11,2016-12,12,2016,0,18,gray,white
1 year,A720762,Bird,chicken,white,2015-02-14 00:00:00,2016-03-09 10:58:00,2016-03-09 10:58:00,Rooster  D16,,Disposal,Intact Male,389,False,2015,2,2016-03,3,2016,2,10,white,
6 months,A733592,Bird,chicken,brown,2016-02-24 00:00:00,2016-08-30 13:57:00,2016-08-30 13:57:00,,,Adoption,Unknown,188,True,2016,2,2016-08,8,2016,1,13,brown,
1 year,A718638,Bird,chicken,white,2015-01-03 00:00:00,2016-01-12 17:37:00,2016-01-12 17:37:00,,Medical,Euthanasia,Intact Female,374,False,2015,1,2016-01,1,2016,1,17,white,
1 year,A722312,Bird,parakeet,white,2015-03-14 00:00:00,2016-03-19 14:33:00,2016-03-19 14:33:00,,,Adoption,Unknown,371,False,2015,3,2016-03,3,2016,5,14,white,
2 years,A758774,Bird,peafowl,blue/green,2015-09-21 00:00:00,2017-09-28 14:59:00,2017-09-28 14:59:00,,Partner,Transfer,Intact Male,738,False,2015,9,2017-09,9,2017,3,14,blue,green
6 months,A725364,Bird,chicken,tricolor,2015-10-28 00:00:00,2016-05-02 17:06:00,2016-05-02 17:06:00,,,Adoption,Unknown,187,True,2015,10,2016-05,5,2016,0,17,tricolor,
1 year,A719502,Bird,dove,gray/brown,2015-01-21 00:00:00,2016-01-21 13:41:00,2016-01-21 13:41:00,,Suffering,Euthanasia,Unknown,365,True,2015,1,2016-01,1,2016,3,13,gray,brown
2 months,A727160,Bird,chicken,white,2016-04-03 00:00:00,2016-06-14 13:31:00,2016-06-14 13:31:00,,Foster,Adoption,Unknown,72,True,2016,4,2016-06,6,2016,1,13,white,
2 years,A712127,Bird,sparrow,brown,2013-09-17 00:00:00,2015-09-19 10:13:00,2015-09-19 10:13:00,,,Euthanasia,Unknown,732,False,2013,9,2015-09,9,2015,5,10,brown,
6 months,A714243,Bird,chicken,white,2015-04-20 00:00:00,2015-11-10 10:47:00,2015-11-10 10:47:00,,,Adoption,Unknown,204,True,2015,4,2015-11,11,2015,1,10,white,
1 year,A744142,Bird,heron,gray,2016-02-23 00:00:00,2017-02-23 15:28:00,2017-02-23 15:28:00,,Suffering,Euthanasia,Unknown,366,False,2016,2,2017-02,2,2017,3,15,gray,
1 year,A730308,Bird,mockingbird,gray/white,2015-07-01 00:00:00,2016-07-01 17:37:00,2016-07-01 17:37:00,,Suffering,Euthanasia,Unknown,366,False,2015,7,2016-07,7,2016,4,17,gray,white
4 weeks,A714194,Bird,pigeon,blue/black,2015-09-19 00:00:00,2015-10-19 14:25:00,2015-10-19 14:25:00,,,Disposal,Unknown,30,True,2015,9,2015-10,10,2015,0,14,blue,black
1 year,A755570,Bird,pigeon,gray/white,2016-08-05 00:00:00,2017-09-27 19:22:00,2017-09-27 19:22:00,,,Disposal,Unknown,418,False,2016,8,2017-09,9,2017,2,19,gray,white
25 years,A740127,Bird,cockatoo,white/orange,1991-12-11 00:00:00,2016-12-16 00:00:00,2016-12-16 00:00:00,Sweet Pea,Partner,Transfer,Intact Female,9137,False,1991,12,2016-12,12,2016,4,0,white,orange
